pedalconfig,description
"[0,0,0,0,0,0,0,1,0]","Thickens solo lines, giving them a double-tracked feel"
"[0,0,0,0,0,0,0,1,0]","Modulates pitch slightly for a vibrant, dynamic effect"
"[0,0,0,0,0,0,0,1,0]",Gives a vintage feel reminiscent of classic rock records
"[0,0,0,0,0,0,0,1,0]","Envelops the listener with a warm, inviting tonal hug"
"[0,0,0,0,0,0,0,1,0]","Creates an atmospheric quality, ideal for ambient music styles"
"[0,0,0,0,0,0,0,1,0]","Enhances note definition with a glossy, polished finish"
"[0,0,0,0,0,0,0,1,0]","Provides a subtle undulation, mimicking a string ensemble"
"[0,0,0,0,0,0,0,1,0]","Builds a sonic halo around notes, lifting them in the mix"
"[0,0,0,0,0,0,0,1,0]","Adds a mystical, otherworldly quality to acoustic passages"
"[0,0,0,0,0,0,0,1,0]","Flattens dynamics slightly, promoting a consistent output level"
"[0,0,0,0,0,0,0,1,0]",Mimics the sound of playing in a large hall
"[0,0,0,0,0,0,0,1,0]",Generates a pulsating effect that breathes with the music
"[0,0,0,0,0,0,0,1,0]","Allows for expressive depth, enhancing emotional expression in playing"
"[0,0,0,0,0,0,0,1,0]",Maintains clarity even with significant depth and rate settings
"[0,0,0,0,0,0,0,1,0]",Brings a three-dimensional quality to mono guitar tracks
"[0,0,0,0,0,0,0,1,0]","Infuses leads with a lush texture, making them sing"
"[0,0,0,0,0,0,0,1,0]",Creates a haunting echo that trails each note subtly
"[0,0,0,0,0,0,0,1,0]","Widens the soundstage, making live performances feel bigger"
"[0,0,0,0,0,0,0,1,0]",Provides a detuned effect without losing tonal fidelity
"[0,0,0,0,0,0,0,1,0]",Enhances harmonic richness by doubling frequencies slightly
"[0,0,0,0,0,0,0,1,0]","Offers a resonant quality, thickening up the mid-range"
"[0,0,0,0,0,0,0,1,0]","Transforms plain riffs into complex, textured musical phrases"
"[0,0,0,0,0,0,0,1,0]",Delays signal slightly to create a rich overlapping effect
"[0,0,0,0,0,0,0,1,0]",Facilitates a vibrant backdrop for clean fingerpicking styles
"[0,0,0,0,0,0,0,1,0]",Amplifies the warmth of the guitar?s natural tone
"[0,0,0,0,0,0,0,1,0]","Contributes to a psychedelic vibe, perfect for experimental genres"
"[0,0,0,0,0,0,0,1,0]",Makes each chord strike resonate with added harmonic content
"[0,0,0,0,0,0,0,1,0]",Gives a modern edge to classic blues licks
"[0,0,0,0,0,0,0,1,0]","Sustains a magical, ethereal sound during quiet passages"
"[0,0,0,0,0,0,0,1,0]","Accentuates vibrato, making bends and vibrato more pronounced"
"[0,0,0,0,0,0,0,1,0]",Balances the sonic presence across all playing techniques
"[0,0,0,0,0,0,0,1,0]",Complements vocal melodies by thickening the accompanying guitar part
"[0,0,0,0,0,0,0,1,0]",Increases the perceived stereo width in headphone listening
"[0,0,0,0,0,0,0,1,0]",Enhances the percussive strumming with a modulating aftereffect
"[0,0,0,0,0,0,0,1,0]","Soft modulation settings provide a subtle, barely-there enhancement"
"[0,0,0,0,0,0,0,1,0]",Deep modulation adds a dramatic flair to solo performances
"[0,0,0,0,0,0,0,1,0]",Smoothens out rough edges in distorted guitar tones
"[0,0,0,0,0,0,0,1,0]",Allows for nuanced control over the effect?s intensity
"[0,0,0,0,0,0,0,1,0]",Creates an illusion of multiple guitars playing in sync
"[0,0,0,0,0,0,0,1,0]",Modulates the pitch up and down for a dynamic feel
"[0,0,0,0,0,0,0,1,0]","Layered chorus effect builds a complex, dense sound texture"
"[0,0,0,0,0,0,0,1,0]",Elevates the overall production quality of home recordings
"[0,0,0,0,0,0,0,1,0]",Adds a professional sheen to live guitar performances
"[0,0,0,0,0,0,0,1,0]",Gives an edge to metal tones by adding depth
"[0,0,0,0,0,0,0,1,0]",Makes clean passages resonate with a choir-like quality
"[0,0,0,0,0,0,0,1,0]",Fills out sparse arrangements by thickening the guitar?s output
"[0,0,0,0,0,0,0,1,0]","Pushes the guitar forward in a mix, enhancing presence"
"[0,0,0,0,0,0,0,1,0]",Adds a retro touch to modern guitar tracks
"[0,0,0,0,0,0,0,1,0]","Emphasizes melodic hooks, making them more memorable"
"[0,0,0,0,0,0,0,1,0]",Creates a sense of air and space around the notes
"[0,0,0,0,0,0,0,1,0]",Imparts a sonic richness that fills the listening space
"[0,0,0,0,0,0,0,1,0]","Enhances sustain, allowing notes to linger and meld"
"[0,0,0,0,0,0,0,1,0]","Infuses a sense of motion, making static parts groove"
"[0,0,0,0,0,0,0,1,0]",Provides a sonic cushion for lead guitar lines
"[0,0,0,0,0,0,0,1,0]",Adds a percussive tremble to palm-muted playing
"[0,0,0,0,0,0,0,1,0]",Makes each note pulse rhythmically with the music
"[0,0,0,0,0,0,0,1,0]",Brings a studio-quality depth to live guitar sounds
"[0,0,0,0,0,0,0,1,0]",Encourages creative exploration with adjustable depth and rate controls
"[0,0,0,0,0,0,0,1,0]",Allows guitarists to dial in the perfect amount of effect
"[0,0,0,0,0,0,0,1,0]","Makes solos stand out with a distinct, singing quality"
"[0,0,0,0,0,0,0,1,0]",Adds a touch of luxury to basic chord progressions
"[0,0,0,0,0,0,0,1,0]",Creates a full-bodied sound ideal for solo acoustic performances
"[0,0,0,0,0,0,0,1,0]","Wraps the guitar tone in a rich, velvety texture"
"[0,0,0,0,0,0,0,0,1]","Flanger creates a swirling, jet-like whoosh enveloping the guitar tone"
"[0,0,0,0,0,0,0,0,1]","Adds a psychedelic, spacey quality to simple chord progressions"
"[0,0,0,0,0,0,0,0,1]",Produces a metallic swoosh that cycles up and down
"[0,0,0,0,0,0,0,0,1]","Gives the tone a resonant, singing quality with each sweep"
"[0,0,0,0,0,0,0,0,1]","Mimics a moving sound, as if flying through air"
"[0,0,0,0,0,0,0,0,1]","Generates a pronounced, throbbing wave throughout the musical piece"
"[0,0,0,0,0,0,0,0,1]",Introduces a futuristic vibe to lead guitar licks
"[0,0,0,0,0,0,0,0,1]","Enhances rhythm parts with a subtle, pulsating modulation"
"[0,0,0,0,0,0,0,0,1]","Layers notes with a thick, syrupy texture that stands out"
"[0,0,0,0,0,0,0,0,1]",Sounds like a choir of phased guitars playing simultaneously
"[0,0,0,0,0,0,0,0,1]",Deep flange effect transforms the guitar into a synth-like instrument
"[0,0,0,0,0,0,0,0,1]","Emphasizes the attack of notes, adding a shimmering effect"
"[0,0,0,0,0,0,0,0,1]","Flanger set to slow rate for a gradual, hypnotic modulation"
"[0,0,0,0,0,0,0,0,1]",Creates a tunnel-like reverberation that enhances spatial perception
"[0,0,0,0,0,0,0,0,1]","Fast rate flanger adds an aggressive, edgy character to solos"
"[0,0,0,0,0,0,0,0,1]",Subtle flanging brings a glossy polish to clean tones
"[0,0,0,0,0,0,0,0,1]","Delivers a sharp, cutting sound ideal for modern rock"
"[0,0,0,0,0,0,0,0,1]",Manual flanger control manipulates the effect in real time
"[0,0,0,0,0,0,0,0,1]",Swooping sound of flanger mimics a smooth wave crash
"[0,0,0,0,0,0,0,0,1]",Imparts a dynamic bounce to strummed chords and riffs
"[0,0,0,0,0,0,0,0,1]","Adds a unique, alien-like timbre to the guitar?s voice"
"[0,0,0,0,0,0,0,0,1]",Combines phase shift and delay for a rich echo effect
"[0,0,0,0,0,0,0,0,1]","Modulates the tone with a rhythmic, wave-like motion"
"[0,0,0,0,0,0,0,0,1]",Enhances harmonic content by emphasizing certain overtones
"[0,0,0,0,0,0,0,0,1]","Flanger feedback intensifies the effect, creating a deeper whoosh"
"[0,0,0,0,0,0,0,0,1]",Brightens the overall tone with its sweeping motion
"[0,0,0,0,0,0,0,0,1]",Low-depth setting provides a subtle enhancement to rhythm playing
"[0,0,0,0,0,0,0,0,1]",Metallic undertones add a chime-like clarity to high notes
"[0,0,0,0,0,0,0,0,1]","Produces a hollow, tube-like resonance that?s unmistakably flanged"
"[0,0,0,0,0,0,0,0,1]",Deep modulation makes the guitar sound thick and fluid
"[0,0,0,0,0,0,0,0,1]",Flanger with high feedback creates a more intense resonance
"[0,0,0,0,0,0,0,0,1]",Sweeping effect makes each note feel alive and moving
"[0,0,0,0,0,0,0,0,1]","Infuses a dramatic, theatrical quality into melodic solos"
"[0,0,0,0,0,0,0,0,1]","Slow sweep rate yields a dreamy, languid sound texture"
"[0,0,0,0,0,0,0,0,1]",High-speed flanging injects excitement and frenzy into performances
"[0,0,0,0,0,0,0,0,1]",Generates a vortex of sound that envelops the listener
"[0,0,0,0,0,0,0,0,1]",Creates a sonic illusion of the guitar spinning around
"[0,0,0,0,0,0,0,0,1]","Adds a sparkling, effervescent quality to picked notes"
"[0,0,0,0,0,0,0,0,1]",Delicate flanger settings enhance the guitar?s natural acoustics
"[0,0,0,0,0,0,0,0,1]",Broad sweep range expands the tonal possibilities of the guitar
"[0,0,0,0,0,0,0,0,1]",Provides a sonic wash that ebbs and flows dynamically
"[0,0,0,0,0,0,0,0,1]","Imparts a liquid, flowing character to distorted guitar tones"
"[0,0,0,0,0,0,0,0,1]",Dynamic flanger response accentuates the intensity of playing
"[0,0,0,0,0,0,0,0,1]",Allows for expressive sound sculpting with variable speed controls
"[0,0,0,0,0,0,0,0,1]",Manual sweep feature lets players tailor the flange effect
"[0,0,0,0,0,0,0,0,1]","Adds a percussive, rhythmic pulse to palm-muted riffs"
"[0,0,0,0,0,0,0,0,1]","Thickens up lead lines, giving them a solid presence"
"[0,0,0,0,0,0,0,0,1]",Enhances clarity and adds definition to each strum
"[0,0,0,0,0,0,0,0,1]","Flanger phase reversal introduces a disorienting, surreal sound effect"
"[0,0,0,0,0,0,0,0,1]","Creates an oscillating pressure effect, as if underwater"
"[0,0,0,0,0,0,0,0,1]",Makes the guitar sound as if it?s moving in waves
"[0,0,0,0,0,0,0,0,1]","Increases the stereo width, creating a more immersive experience"
"[0,0,0,0,0,0,0,0,1]",Flanger with dry/wet mix control balances the effect intensity
"[0,0,0,0,0,0,0,0,1]",Offers a distinctive swirling echo that fills the sonic space
"[0,0,0,0,0,0,0,0,1]","Provides a churning, undulating background texture to solos"
"[0,0,0,0,0,0,0,0,1]",Enhances musical articulation with a dramatic flange effect
"[0,0,0,0,0,0,0,0,1]",Creates a sweeping sonic landscape for experimental music styles
"[0,0,0,0,0,0,0,0,1]",Adds a distinctive metallic edge to power chords
"[0,0,0,0,0,0,0,0,1]",Produces a resonant feedback loop that intensifies the effect
"[0,0,0,0,0,0,0,0,1]",Flanger depth control adjusts the intensity of the modulation
"[0,0,0,0,0,0,0,0,1]",Gives a vintage analog warmth with its rich modulation
"[0,0,0,0,0,0,0,0,1]",Injects a sense of urgency and vibrato into each note
"[0,0,0,0,0,0,0,0,1]",Makes each chord progression more intriguing and complex
"[0,0,0,0,0,0,0,0,1]",Manual flange setting mimics the sound of tape dragging
"[0,0,0,0,0,0,0,0,1]","Delivers a robust, full-bodied tone with complex harmonics"
"[0,0,0,0,0,0,0,0,1]",Allows subtle phasing nuances that enrich clean guitar parts
"[0,0,0,0,0,0,0,0,1]",Enables dynamic wave shaping for customizable sound effects
"[0,0,0,0,0,0,0,0,1]",Manual mode offers expressive control over the modulation waveform
"[0,0,0,0,0,0,0,0,1]",Adjustable regeneration settings intensify the flange effect dramatically
"[0,0,0,0,0,0,0,0,1]","Infuses solos with a swirling, captivating sonic motion"
"[0,0,0,0,0,0,0,0,1]","Creates a moving sonic image, as if shifting spatially"
"[0,0,0,0,0,0,0,0,1]",Flanger rate adjustments provide a range from subtle to extreme
"[0,0,0,0,0,0,0,0,1]","Adds a haunting, otherworldly dimension to ambient tracks"
"[0,0,0,0,0,0,0,0,1]","Converts simple riffs into lush, expansive musical statements"
"[0,0,0,0,0,0,0,0,1]",Enhances the textural quality of the guitar?s output
"[0,0,0,0,0,0,0,0,1]","Provides a pronounced, oscillating effect for psychedelic vibes"
